,time,VTWS_AVG,WIND_SPEED,WIND_SPEED_2,windspeed5,Windspeed3a,Timestamp Flag,data qc flag VTWS_AVG
88,2020-10-04 21:00:00+00:00,6.64564718604347,6.59679845228476,6.62619838384344,6.827787339537987,6.62288134072389,,6.64564718604347
89,2020-10-04 22:00:00+00:00,6.21388961543389,6.23347324120225,6.23587499970719,6.61775553624101,6.227745952114443,,6.21388961543389
90,2020-10-04 23:00:00+00:00,6.30939464656703,6.33574920462234,6.33886557029912,6.632264703634493,6.328003140496164,,6.30939464656703
91,2020-10-05 00:00:00+00:00,7.60425112047454,7.39693603688545,7.40096871760886,9.719482829773064,7.467385291656282,,7.60425112047454
92,2020-10-05 01:00:00+00:00,7.01164188640749,7.04739557725673,7.03437462868775,7.37794958248541,7.031137364117323,,7.01164188640749
93,2020-10-05 02:00:00+00:00,6.75132797050426,6.67571391004234,6.67164925639407,7.186784875337954,6.699563712313556,,6.75132797050426
94,2020-10-05 03:00:00+00:00,5.88618138966944,5.39113792169529,5.39473791938792,7.761609329312586,5.557352410250883,,5.88618138966944
95,2020-10-05 04:00:00+00:00,4.42045586383145,4.70361834518915,4.70777683476083,7.17165813649598,4.61061701459381,,4.42045586383145
96,2020-10-05 05:00:00+00:00,5.15933181360226,5.17743840848973,5.1996196088086,5.316141764631621,5.178796610300196,,5.15933181360226
97,2020-10-05 06:00:00+00:00,4.56921828561438,4.50603402482307,4.51492111510869,4.700856207288646,4.53005780851538,,4.56921828561438
98,2020-10-05 07:00:00+00:00,4.39866964949443,4.41288196039362,4.42857961050832,4.593124155348678,4.4133770734654565,,4.39866964949443
99,2020-10-05 08:00:00+00:00,5.04508797034988,5.10485894019147,5.11472866205448,5.320254561824513,5.088225190865276,,5.04508797034988
100,2020-10-05 09:00:00+00:00,5.79664048165817,5.49811251295302,5.50231476690399,6.450239517071539,5.599022587171727,,5.79664048165817
101,2020-10-05 10:00:00+00:00,5.73191498370707,5.89590440111214,5.90873273925835,6.8590571454434,5.84551737469252,,5.73191498370707
102,2020-10-05 11:00:00+00:00,,6.53942354115325,6.53942354115325,6.53942354115325,6.53942354115325,,Erroneous
103,2020-10-05 12:00:00+00:00,7.06595068407392,7.06718882200913,7.10199248669342,7.189042941961223,7.07837733092549,,7.06595068407392
104,2020-10-05 13:00:00+00:00,7.0248351956767,6.95829699259168,6.98621770164535,7.4844114568291324,6.98978329663791,,7.0248351956767
105,2020-10-05 14:00:00+00:00,8.26111749327347,8.26836902205705,8.30490013920058,9.120400205903891,8.2781288848437,,8.26111749327347
106,2020-10-05 15:00:00+00:00,6.94221736037246,6.822977007835,6.86190633220387,7.179569730004678,6.875700233470443,,6.94221736037246
107,2020-10-05 16:00:00+00:00,5.50813043237479,5.50284400469474,5.50813043237479,5.5360831879389805,5.506368289814773,,5.50813043237479
108,2020-10-05 17:00:00+00:00,5.70192924904725,5.64275458221303,5.651552753254,5.9880479778944435,5.665412194838093,,5.70192924904725
109,2020-10-05 18:00:00+00:00,6.77271208319971,6.80926218350204,6.82702559739239,7.15547387307481,6.802999954698046,,6.77271208319971
110,2020-10-05 19:00:00+00:00,7.8560909625953,7.88359466976683,7.88415011834385,8.013240057497443,7.874611916901993,,7.8560909625953
111,2020-10-05 20:00:00+00:00,8.17585947733959,8.18463842448717,8.18852920024199,8.330124162374913,8.183009034022916,,8.17585947733959
112,2020-10-05 21:00:00+00:00,8.06866825751605,8.07962128168878,8.07244668334009,8.12882040200077,8.073578740848307,,8.06866825751605
113,2020-10-05 22:00:00+00:00,8.33558152405446,8.31116165235461,8.30344160178951,8.525984898480404,8.316728259399525,,8.33558152405446
